# key	medias[0].media.originalUrl	medias[0].media.thumbnailUrl	medias[0].captionTitle.localizations[0].market	medias[0].captionTitle.localizations[0].lang	medias[0].captionTitle.localizations[0].value
TECHNIQUE_102155	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118093_2.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118093.png	GS_FR	fr	Chemiser un moule
TECHNIQUE_102156	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110077_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110077_1.png	GS_FR	fr	Émincer une carotte
TECHNIQUE_102157	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110078.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110078.png	GS_FR	fr	Émincer un oignon
TECHNIQUE_102159	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110082_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110082.png	GS_FR	fr	Éplucher et découper des champignons de Paris
TECHNIQUE_102160	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110085_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110085.png	GS_FR	fr	Singer
TECHNIQUE_102161	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110086_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110086.png	GS_FR	fr	Découper des oignons nouveaux
TECHNIQUE_102163	http://cookingpartner.prod.apipro.groupe-seb.com/videos/110118_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/110118.png	GS_FR	fr	Ciseler le cerfeuil
TECHNIQUE_102166	http://cookingpartner.prod.apipro.groupe-seb.com/videos/112383_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/112383.png	GS_FR	fr	Macaronner
TECHNIQUE_102169	http://cookingpartner.prod.apipro.groupe-seb.com/videos/112386_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/112386.png	GS_FR	fr	Réaliser une ganache
TECHNIQUE_102170	http://cookingpartner.prod.apipro.groupe-seb.com/videos/112387_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/112387.png	GS_FR	fr	Pocher les macarons
TECHNIQUE_102192	http://cookingpartner.prod.apipro.groupe-seb.com/videos/117939_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/117939.png	GS_FR	fr	Tailler la viande en aiguillettes
TECHNIQUE_102193	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118059_3.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118059.png	GS_FR	fr	Utiliser un siphon
TECHNIQUE_102194	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118081_3.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118081_1.png	GS_FR	fr	Utiliser une poche à douille
TECHNIQUE_102195	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118137_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118137.png	GS_FR	fr	Monter une crème chantilly sucrée
TECHNIQUE_102196	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118169_2.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118169.png	GS_FR	fr	Zester et presser une orange 
TECHNIQUE_102197	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118170_2.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118170.png	GS_FR	fr	Éplucher une mangue
